Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2003","2003","t","1189229","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2003","2003","1000 USD","231192","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2003","2003","t","19890467","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2003","2003","1000 USD","4290443","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2004","2004","t","348312","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2004","2004","1000 USD","73784","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2004","2004","t","19247690","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2004","2004","1000 USD","5394907","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2005","2005","t","367748","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2005","2005","1000 USD","68755","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2005","2005","t","22435072","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2005","2005","1000 USD","5345047","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2006","2006","t","48857","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2006","2006","1000 USD","9875","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2006","2006","t","24957975","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2006","2006","1000 USD","5663424","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2007","2007","t","97928","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2007","2007","1000 USD","29496","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2007","2007","t","23733776","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2007","2007","1000 USD","6709381","A","Official figure",""
