Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2013","2013","t","183234.86","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2014","2014","t","147436.36","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2015","2015","t","182117.23","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2016","2016","t","203482.78","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2017","2017","t","162302","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2018","2018","t","152005.7","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2019","2019","t","159635.03","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2020","2020","t","123926.58","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2021","2021","t","164798.39","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2000","2000","t","20016.82","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2001","2001","t","20486.9","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2002","2002","t","21661.15","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2003","2003","t","23133.48","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2004","2004","t","24311.16","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2005","2005","t","25040.72","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1331","Fungicides and Bactericides","2006","2006","t","26052.2","E","Estimated value",""
