Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2009","2009","100 g/ha","26365","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2009","2009","t","57345382","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2010","2010","ha","23327296","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2010","2010","100 g/ha","29475","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2010","2010","t","68756343","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2011","2011","ha","23968663","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2011","2011","100 g/ha","31214","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2011","2011","t","74815447","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2012","2012","ha","24975258","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2012","2012","100 g/ha","26366","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2012","2012","t","65848857","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2013","2013","ha","27906675","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2013","2013","100 g/ha","29285","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2013","2013","t","81724477","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2014","2014","ha","30273763","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2014","2014","100 g/ha","28659","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2014","2014","t","86760520","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2015","2015","ha","32181243","A","Official figure",""
